mod_input_final,mod_input_raw,dat_output,check,accum_op,accum_op_class,source_file,variable_description
tav_mar_pwy,tav_Mar.pwy,tav_mar_pwy,NA,none,NONE,TAVYYYY_CAT_CONUS.csv,PRISM derived
tav_apr_pwy,tav_Apr.pwy,tav_apr_pwy,NA,none,NONE,TAVYYYY_CAT_CONUS.csv,PRISM derived
tav_may_pwy,tav_May.pwy,tav_may_pwy,NA,none,NONE,TAVYYYY_CAT_CONUS.csv,PRISM derived
tav_jun_pwy,tav_Jun.pwy,tav_jun_pwy,NA,none,NONE,TAVYYYY_CAT_CONUS.csv,PRISM derived
tav_jul_pwy,tav_Jul.pwy,tav_jul_pwy,NA,none,NONE,TAVYYYY_CAT_CONUS.csv,PRISM derived
tav_aug_pwy,tav_Aug.pwy,tav_aug_pwy,NA,none,NONE,TAVYYYY_CAT_CONUS.csv,PRISM derived
tav_sep_pwy,tav_Sep.pwy,tav_sep_pwy,NA,none,NONE,TAVYYYY_CAT_CONUS.csv,PRISM derived
run_jan_wy,run_Jan.wy,run_jan_wy,NA,none,NONE,RUNYYYY_CAT_CONUS.csv,"Wollock water balance model, based on PRISM (ET, PPT, TEMP)"
run_feb_wy,run_Feb.wy,run_feb_wy,NA,none,NONE,RUNYYYY_CAT_CONUS.csv,"Wollock water balance model, based on PRISM (ET, PPT, TEMP)"
run_mar_wy,run_Mar.wy,run_mar_wy,NA,none,NONE,RUNYYYY_CAT_CONUS.csv,"Wollock water balance model, based on PRISM (ET, PPT, TEMP)"
run_apr_wy,run_Apr.wy,run_apr_wy,NA,none,NONE,RUNYYYY_CAT_CONUS.csv,"Wollock water balance model, based on PRISM (ET, PPT, TEMP)"
run_may_wy,run_May.wy,run_may_wy,NA,none,NONE,RUNYYYY_CAT_CONUS.csv,"Wollock water balance model, based on PRISM (ET, PPT, TEMP)"
run_jun_wy,run_Jun.wy,run_jun_wy,NA,none,NONE,RUNYYYY_CAT_CONUS.csv,"Wollock water balance model, based on PRISM (ET, PPT, TEMP)"
run_jul_wy,run_Jul.wy,run_jul_wy,NA,none,NONE,RUNYYYY_CAT_CONUS.csv,"Wollock water balance model, based on PRISM (ET, PPT, TEMP)"
run_aug_wy,run_Aug.wy,run_aug_wy,NA,none,NONE,RUNYYYY_CAT_CONUS.csv,"Wollock water balance model, based on PRISM (ET, PPT, TEMP)"
run_sep_wy,run_Sep.wy,run_sep_wy,NA,none,NONE,RUNYYYY_CAT_CONUS.csv,"Wollock water balance model, based on PRISM (ET, PPT, TEMP)"
run_oct_wy,run_Oct.wy,run_oct_wy,NA,none,NONE,RUNYYYY_CAT_CONUS.csv,"Wollock water balance model, based on PRISM (ET, PPT, TEMP)"
run_nov_wy,run_Nov.wy,run_nov_wy,NA,none,NONE,RUNYYYY_CAT_CONUS.csv,"Wollock water balance model, based on PRISM (ET, PPT, TEMP)"
run_dec_wy,run_Dec.wy,run_dec_wy,NA,none,NONE,RUNYYYY_CAT_CONUS.csv,"Wollock water balance model, based on PRISM (ET, PPT, TEMP)"
run_jan_pwy,run_Jan.pwy,run_jan_pwy,NA,none,NONE,RUNYYYY_CAT_CONUS.csv,"Wollock water balance model, based on PRISM (ET, PPT, TEMP)"
run_feb_pwy,run_Feb.pwy,run_feb_pwy,NA,none,NONE,RUNYYYY_CAT_CONUS.csv,"Wollock water balance model, based on PRISM (ET, PPT, TEMP)"
run_mar_pwy,run_Mar.pwy,run_mar_pwy,NA,none,NONE,RUNYYYY_CAT_CONUS.csv,"Wollock water balance model, based on PRISM (ET, PPT, TEMP)"
run_apr_pwy,run_Apr.pwy,run_apr_pwy,NA,none,NONE,RUNYYYY_CAT_CONUS.csv,"Wollock water balance model, based on PRISM (ET, PPT, TEMP)"
run_may_pwy,run_May.pwy,run_may_pwy,NA,none,NONE,RUNYYYY_CAT_CONUS.csv,"Wollock water balance model, based on PRISM (ET, PPT, TEMP)"
run_jun_pwy,run_Jun.pwy,run_jun_pwy,NA,none,NONE,RUNYYYY_CAT_CONUS.csv,"Wollock water balance model, based on PRISM (ET, PPT, TEMP)"
run_jul_pwy,run_Jul.pwy,run_jul_pwy,NA,none,NONE,RUNYYYY_CAT_CONUS.csv,"Wollock water balance model, based on PRISM (ET, PPT, TEMP)"
run_aug_pwy,run_Aug.pwy,run_aug_pwy,NA,none,NONE,RUNYYYY_CAT_CONUS.csv,"Wollock water balance model, based on PRISM (ET, PPT, TEMP)"
run_sep_pwy,run_Sep.pwy,run_sep_pwy,NA,none,NONE,RUNYYYY_CAT_CONUS.csv,"Wollock water balance model, based on PRISM (ET, PPT, TEMP)"
ppt_ann_wy,ppt_ann.wy,ppt_ann_wy,NA,none,NONE,PPTYYYY_CAT_CONUS.csv,PRISM Monthly Avg (Water Year Oct to Sep)
ppt_fall_wy,ppt_fall.wy,ppt_fall_wy,NA,none,NONE,PPTYYYY_CAT_CONUS.csv,"PRISM seasonal avg (Oct, Nov, Dec)"
ppt_wint_wy,ppt_wint.wy,ppt_wint_wy,NA,none,NONE,PPTYYYY_CAT_CONUS.csv,"PRISM seasonal avg (Jan, Feb, Mar)"
ppt_sprg_wy,ppt_sprg.wy,ppt_sprg_wy,NA,none,NONE,PPTYYYY_CAT_CONUS.csv,"PRISM seasonal avg (Apr, May, Jun)"
ppt_summ_wy,ppt_summ.wy,ppt_summ_wy,NA,none,NONE,PPTYYYY_CAT_CONUS.csv,"PRISM seasonal avg (Jul, Aug, Sep)"
ppt_ann_pwy,ppt_ann.pwy,ppt_ann_pwy,NA,none,NONE,PPTYYYY_CAT_CONUS.csv,PRISM seasonal avg (previous water year)
ppt_wint_pwy,ppt_wint.pwy,ppt_wint_pwy,NA,none,NONE,PPTYYYY_CAT_CONUS.csv,PRISM seasonal avg (previous water year)
ppt_sprg_pwy,ppt_sprg.pwy,ppt_sprg_pwy,NA,none,NONE,PPTYYYY_CAT_CONUS.csv,PRISM seasonal avg (previous water year)
ppt_summ_pwy,ppt_summ.pwy,ppt_summ_pwy,NA,none,NONE,PPTYYYY_CAT_CONUS.csv,PRISM seasonal avg (previous water year)
ppt_sum1,ppt_sum1,ppt_sum1,NA,none,NONE,PPTYYYY_CAT_CONUS.csv,PRISM sum1 (ann_wy + ann_pwy)
ppt_sum2,ppt_sum2,ppt_sum2,NA,none,NONE,PPTYYYY_CAT_CONUS.csv,PRISM sum2 (ann_wy + summ_pwy)
ppt_sum3,ppt_sum3,ppt_sum3,NA,none,NONE,PPTYYYY_CAT_CONUS.csv,PRISM sum3 (ann_wy + sprg_pwy)
ppt_sum4,ppt_sum4,ppt_sum4,NA,none,NONE,PPTYYYY_CAT_CONUS.csv,PRISM sum4 (ann_wy + wint_pwy
run_ann_wy,run_ann.wy,run_ann_wy,NA,none,NONE,RUNYYYY_CAT_CONUS.csv,Wollock water balance model
run_fall_wy,run_fall.wy,run_fall_wy,NA,none,NONE,RUNYYYY_CAT_CONUS.csv,Wollock water balance model
run_wint_wy,run_wint.wy,run_wint_wy,NA,none,NONE,RUNYYYY_CAT_CONUS.csv,Wollock water balance model
run_sprg_wy,run_sprg.wy,run_sprg_wy,NA,none,NONE,RUNYYYY_CAT_CONUS.csv,Wollock water balance model
run_summ_wy,run_summ.wy,run_summ_wy,NA,none,NONE,RUNYYYY_CAT_CONUS.csv,Wollock water balance model
run_ann_pwy,run_ann.pwy,run_ann_pwy,NA,none,NONE,RUNYYYY_CAT_CONUS.csv,Wollock water balance model
run_wint_pwy,run_wint.pwy,run_wint_pwy,NA,none,NONE,RUNYYYY_CAT_CONUS.csv,Wollock water balance model
run_sprg_pwy,run_sprg.pwy,run_sprg_pwy,NA,none,NONE,RUNYYYY_CAT_CONUS.csv,Wollock water balance model
run_summ_pwy,run_summ.pwy,run_summ_pwy,NA,none,NONE,RUNYYYY_CAT_CONUS.csv,Wollock water balance model
run_sum1,run_sum1,run_sum1,NA,none,NONE,RUNYYYY_CAT_CONUS.csv,Wollock water balance model
run_sum2,run_sum2,run_sum2,NA,none,NONE,RUNYYYY_CAT_CONUS.csv,Wollock water balance model
run_sum3,run_sum3,run_sum3,NA,none,NONE,RUNYYYY_CAT_CONUS.csv,Wollock water balance model
run_sum4,run_sum4,run_sum4,NA,none,NONE,RUNYYYY_CAT_CONUS.csv,Wollock water balance model
tav_ann_wy,tav_ann.wy,tav_ann_wy,NA,none,NONE,TAVYYYY_CAT_CONUS.csv,PRISM derived
tav_fall_wy,tav_fall.wy,tav_fall_wy,NA,none,NONE,TAVYYYY_CAT_CONUS.csv,PRISM derived
tav_wint_wy,tav_wint.wy,tav_wint_wy,NA,none,NONE,TAVYYYY_CAT_CONUS.csv,PRISM derived
tav_sprg_wy,tav_sprg.wy,tav_sprg_wy,NA,none,NONE,TAVYYYY_CAT_CONUS.csv,PRISM derived
tav_summ_wy,tav_summ.wy,tav_summ_wy,NA,none,NONE,TAVYYYY_CAT_CONUS.csv,PRISM derived
tav_ann_pwy,tav_ann.pwy,tav_ann_pwy,NA,none,NONE,TAVYYYY_CAT_CONUS.csv,PRISM derived
tav_wint_pwy,tav_wint.pwy,tav_wint_pwy,NA,none,NONE,TAVYYYY_CAT_CONUS.csv,PRISM derived
tav_sprg_pwy,tav_sprg.pwy,tav_sprg_pwy,NA,none,NONE,TAVYYYY_CAT_CONUS.csv,PRISM derived
tav_summ_pwy,tav_summ.pwy,tav_summ_pwy,NA,none,NONE,TAVYYYY_CAT_CONUS.csv,PRISM derived
tav_sum1,tav_sum1,tav_sum1,NA,none,NONE,TAVYYYY_CAT_CONUS.csv,PRISM derived
tav_sum2,tav_sum2,tav_sum2,NA,none,NONE,TAVYYYY_CAT_CONUS.csv,PRISM derived
tav_sum3,tav_sum3,tav_sum3,NA,none,NONE,TAVYYYY_CAT_CONUS.csv,PRISM derived
tav_sum4,tav_sum4,tav_sum4,NA,none,NONE,TAVYYYY_CAT_CONUS.csv,PRISM derived
cat_basin_slope,SLOPE_PCT_30M,cat_basin_slope,NA,none,NONE,BASIN_CHAR_CAT_CONUS.csv,"Mean basin slope, percent. Derived from 30m NHDPlus"
cat_elev_mean,ELEV_MEAN_M_BASIN_30M,cat_elev_mean,NA,none,NONE,BASIN_CHAR_CAT_CONUS.csv,Mean basin elevation (meters) from 30m NHDPlus
cat_hlr_1,HLR1,cat_hlr_1,NA,none,NONE,HLR_CAT_CONUS.csv,Proportion of basin occupied by HLR x (proportion)
cat_hlr_2,HLR2,cat_hlr_2,NA,none,NONE,HLR_CAT_CONUS.csv,Proportion of basin occupied by HLR x (proportion)
cat_hlr_3,HLR3,cat_hlr_3,NA,none,NONE,HLR_CAT_CONUS.csv,Proportion of basin occupied by HLR x (proportion)
cat_hlr_4,HLR4,cat_hlr_4,NA,none,NONE,HLR_CAT_CONUS.csv,Proportion of basin occupied by HLR x (proportion)
cat_hlr_5,HLR5,cat_hlr_5,NA,none,NONE,HLR_CAT_CONUS.csv,Proportion of basin occupied by HLR x (proportion)
cat_hlr_6,HLR6,cat_hlr_6,NA,none,NONE,HLR_CAT_CONUS.csv,Proportion of basin occupied by HLR x (proportion)
cat_hlr_7,HLR7,cat_hlr_7,NA,none,NONE,HLR_CAT_CONUS.csv,Proportion of basin occupied by HLR x (proportion)
cat_hlr_8,HLR8,cat_hlr_8,NA,none,NONE,HLR_CAT_CONUS.csv,Proportion of basin occupied by HLR x (proportion)
cat_hlr_9,HLR9,cat_hlr_9,NA,none,NONE,HLR_CAT_CONUS.csv,Proportion of basin occupied by HLR x (proportion)
cat_hlr_10,HLR10,cat_hlr_10,NA,none,NONE,HLR_CAT_CONUS.csv,Proportion of basin occupied by HLR x (proportion)
cat_hlr_11,HLR11,cat_hlr_11,NA,none,NONE,HLR_CAT_CONUS.csv,Proportion of basin occupied by HLR x (proportion)
cat_hlr_12,HLR12,cat_hlr_12,NA,none,NONE,HLR_CAT_CONUS.csv,Proportion of basin occupied by HLR x (proportion)
cat_hlr_13,HLR13,cat_hlr_13,NA,none,NONE,HLR_CAT_CONUS.csv,Proportion of basin occupied by HLR x (proportion)
cat_hlr_14,HLR14,cat_hlr_14,NA,none,NONE,HLR_CAT_CONUS.csv,Proportion of basin occupied by HLR x (proportion)
cat_hlr_15,HLR15,cat_hlr_15,NA,none,NONE,HLR_CAT_CONUS.csv,Proportion of basin occupied by HLR x (proportion)
cat_hlr_16,HLR16,cat_hlr_16,NA,none,NONE,HLR_CAT_CONUS.csv,Proportion of basin occupied by HLR x (proportion)
cat_hlr_17,HLR17,cat_hlr_17,NA,none,NONE,HLR_CAT_CONUS.csv,Proportion of basin occupied by HLR x (proportion)
cat_hlr_18,HLR18,cat_hlr_18,NA,none,NONE,HLR_CAT_CONUS.csv,Proportion of basin occupied by HLR x (proportion)
cat_hlr_19,HLR19,cat_hlr_19,NA,none,NONE,HLR_CAT_CONUS.csv,Proportion of basin occupied by HLR x (proportion)
cat_hlr_20,HLR20,cat_hlr_20,NA,none,NONE,HLR_CAT_CONUS.csv,Proportion of basin occupied by HLR x (proportion)
pptavg_basin,PPTAVG_BASIN,tot_ppt7100_ann,NA,none,NONE,PPT7100_ANN_CONUS.csv,"Mean annual precipitation for basin, 1971-2000 (mm)"
cat_tmin7100,T_MIN_BASIN,cat_tmin7100,NA,none,NONE,TMIN7100_CONUS.csv,"Mean min monthly temperature for basin, 1971-2000 (deg C)"
cat_tmax7100,T_MAX_BASIN,cat_tmax7100,NA,none,NONE,TMAX7100_CONUS.csv,"Mean max monthly temperature for basin, 1971-2000 (deg C)"
ann_min_precip_basin,AnnMinPrecip,tot_minp6190,NA,none,NONE,MINP6190_CONUS.csv,"Min annual precipitation for basin, 1960-1990 (mm)"
ann_max_precip_basin,AnnMaxPrecip,tot_maxp6190,NA,none,NONE,MAXP6190_CONUS.csv,"Max annual precipitation for basin, 1960-1990 (mm)"
ann_min_precip,CAT_AnnMinPrecip,cat_minp6190,NA,none,NONE,MINP6190_CONUS.csv,"Min annual precipitation for basin, 1960-1990 (mm)"
ann_max_precip,CAT_AnnMaxPrecip,cat_maxp6190,NA,none,NONE,MAXP6190_CONUS.csv,"Max annual precipitation for basin, 1960-1990 (mm)"
cat_wdjan,WD_JAN_BASIN,cat_wdjan,NA,none,NONE,WD6190_CAT_CONUS.csv,"Mean number of days with precipitation in basin for January, PRISM (1961-1990)"
cat_wdfeb,WD_FEB_BASIN,cat_wdfeb,NA,none,NONE,WD6190_CAT_CONUS.csv,"Mean number of days with precipitation in basin for Feb, PRISM (1961-1990)"
cat_wdmar,WD_MAR_BASIN,cat_wdmar,NA,none,NONE,WD6190_CAT_CONUS.csv,etc.
cat_wdapr,WD_APR_BASIN,cat_wdapr,NA,none,NONE,WD6190_CAT_CONUS.csv,etc.
cat_wdmay,WD_MAY_BASIN,cat_wdmay,NA,none,NONE,WD6190_CAT_CONUS.csv,etc.
cat_wdjun,WD_JUN_BASIN,cat_wdjun,NA,none,NONE,WD6190_CAT_CONUS.csv,etc.
cat_wdjul,WD_JUL_BASIN,cat_wdjul,NA,none,NONE,WD6190_CAT_CONUS.csv,etc.
cat_wdaug,WD_AUG_BASIN,cat_wdaug,NA,none,NONE,WD6190_CAT_CONUS.csv,etc.
cat_wdsep,WD_SEP_BASIN,cat_wdsep,NA,none,NONE,WD6190_CAT_CONUS.csv,etc.
cat_wdoct,WD_OCT_BASIN,cat_wdoct,NA,none,NONE,WD6190_CAT_CONUS.csv,etc.
cat_wdnov,WD_NOV_BASIN,cat_wdnov,NA,none,NONE,WD6190_CAT_CONUS.csv,etc.
cat_wddec,WD_DEC_BASIN,cat_wddec,NA,none,NONE,WD6190_CAT_CONUS.csv,etc.
cat_cwd,ANN_CONS_WETDAYS,cat_cwd,NA,none,NONE,CWD_CONUS.csv,"Basin mean annual number of consecutive days with measureable precipitation, PRISM (1961-1990)"
cat_wdann,WD_BASIN,cat_wdann,NA,none,NONE,WDANN_CONUS.csv,"Basin mean annual number of days with precipitation, PRISM (1961-1990)"
cat_minwd6190,WDMIN_BASIN,cat_minwd6190,NA,none,NONE,MINWD6190_CONUS.csv,"Basin mean min annual number of days with precipitation, PRISM (1961-1990)"
cat_maxwd6190,WDMAX_BASIN,cat_maxwd6190,NA,none,NONE,MAXWD6190_CONUS.csv,"Basin mean max annual number of days with precipitation, PRISM (1961-1990)"
et_basin,ET,tot_et,NA,none,NONE,ET_CONUS.csv,"Basin mean annual evapotranspiration, mm/yr."
pet_basin,PET,tot_pet,NA,none,NONE,PET_CONUS.csv,"Basin mean potential annual evapotranspiration, mm/yr (PRISM 1971-2000)."
rh_basin,RH_BASIN,tot_rh,NA,none,NONE,RH_CONUS.csv,"Basin mean relative humidity (%), derived from PRISM (1971-2000)."
cat_prsnow,SNOW_PCT_PRECIP,tot_prsnow,NA,none,NONE,PRSNOW_CONUS.csv,"Basin mean of snow percent of total precipitation estimate, mean for period 1901-2000."
cat_fstfz6190,FST32F_BASIN,cat_fstfz6190,NA,none,NONE,FSTFZ6190_CONUS.csv,"Basin average of mean day of the year of first freeze, derived from 30 years of record (1961-1990), 2km PRISM. For example, value of 300 is the 300th day of the year (Oct 27th)."
cat_lstfz6190,LST32F_BASIN,cat_lstfz6190,NA,none,NONE,LSTFZ6190_CONUS.csv,"Basin average of mean day of the year of last freeze, derived from 30 years of record (1961-1990), 2km PRISM.  For example, value of 100 is the 100th day of the year (April 10th)."
cat_contact,CONTACT,cat_contact,NA,none,NONE,CONTACT_CONUS.csv,Subsurface flow contact time index. The subsurface contact time index estimates the number of days that infiltrated water resides in the saturated subsurface zone of the basin before discharging into the stream.
cat_bfi,BFI_AVE,cat_bfi,NA,none,NONE,BFI_CONUS.csv,"Base Flow Index (BFI), The BFI is a ratio of base flow to total streamflow, expressed as a percentage and ranging from 0 to 100. Base flow is the sustained, slowly varying component of streamflow, usually attributed to ground-water discharge to a stream."
cat_twi,TOPWET,cat_twi,NA,none,NONE,TWI_CONUS.csv,"Topographic wetness index, ln(a/S); where ""ln"" is the natural log, ""a"" is the upslope area per unit contour length and ""S"" is the slope at that point.  See http://ks.water.usgs.gov/Kansas/pubs/reports/wrir.99-4242.html and Wolock and McCabe, 1995 for more detail"
cat_satof,PERDUN,cat_satof,NA,none,NONE,SATOF_CONUS.csv,"Dunne overland flow, also know as saturation overland flow, is generated in a basin when the water table ""outcrops"" on the land surface (due to the infiltration and redistribution of soil moisture within the basin), thereby producing temporary saturated areas. These saturated areas generate Dunne overland flow through exfiltration of shallow ground water and by routing precipitation directly to the stream network."
cat_rfact,RFACT,cat_rfact,NA,none,NONE,STATSGO_LAYER_CAT_CONUS.csv,"Rainfall and Runoff factor (""R factor"" of Universal Soil Loss Equation); average annual value for period 1971-2000"
cat_ieof,PERHOR,cat_ieof,NA,none,NONE,IEOF_CONUS.csv,"Horton overland flow, also known as infiltration-excess overland flow, is generated in a basin when infiltration rates are exceeded by precipitation rates."
cat_siltave,SILTAVE,cat_siltave,NA,none,NONE,STATSGO_TEXT_CAT_CONUS.csv,Average value of silt content in basin (percentage)
cat_clayave,CLAYAVE,cat_clayave,NA,none,NONE,STATSGO_TEXT_CAT_CONUS.csv,Average value of clay content in basin (percentage)
cat_sandave,SANDAVE,cat_sandave,NA,none,NONE,STATSGO_TEXT_CAT_CONUS.csv,Average value of sand content in basin (percentage)
cat_hga,HGA,cat_hga,NA,none,NONE,STATSGO_HYDGRP_CAT_CONUS.csv,"Percentage of soils in hydrologic group A. Hydrologic group A soils have high infiltration rates. Soils are deep and well drained and, typically, have high sand and gravel content."
cat_hgac,HGAC,cat_hgac,NA,none,NONE,STATSGO_HYDGRP_CAT_CONUS.csv,Percentage of soils in hydrologic group A/C. Hydrologic group A/C soils have group A characteristics (high infiltration rates) when artificially drained and have group C characteristics (slow infiltration rates) when not drained.
cat_hgad,HGAD,cat_hgad,NA,none,NONE,STATSGO_HYDGRP_CAT_CONUS.csv,Percentage of soils in hydrologic group A/D. Hydrologic group A/D soils have group A characteristics (high infiltration rates) when artificially drained and have group D characteristics (very slow infiltration rates) when not drained.
cat_hgb,HGB,cat_hgb,NA,none,NONE,STATSGO_HYDGRP_CAT_CONUS.csv,"Percentage of soils in hydrologic group B. Hydrologic group B soils have moderate infiltration rates. Soils are moderately deep, moderately well drained, and moderately coarse in texture."
cat_hgbc,HGBC,cat_hgbc,NA,none,NONE,STATSGO_HYDGRP_CAT_CONUS.csv,Percentage of soils in hydrologic group B/C. Hydrologic group B/C soils have group B characteristics (moderate infiltration rates) when artificially drained and have group C characteristics (slow infiltration rates) when not drained.
cat_hgbd,HGBD,cat_hgbd,NA,none,NONE,STATSGO_HYDGRP_CAT_CONUS.csv,Percentage of soils in hydrologic group B/D. Hydrologic group B/D soils have group B characteristics (moderate infiltration rates) when artificially drained and have group D characteristics (very slow infiltration rates) when not drained.
cat_hgc,HGC,cat_hgc,NA,none,NONE,STATSGO_HYDGRP_CAT_CONUS.csv,"Percentage of soils in hydrologic group C. Hydrologic group C soils have slow soil inflitration rates. The soil profiles include layers impeding downward movement of water and, typically, have moderately fine or fine texture."
cat_hgcd,HGCD,cat_hgcd,NA,none,NONE,STATSGO_HYDGRP_CAT_CONUS.csv,Percentage of soils in hydrologic group C/D. Hydrologic group C/D soils have group C characteristics (slow infiltration rates) when artificially drained and have group D characteristics (very slow infiltration rates) when not drained.
cat_hgd,HGD,cat_hgd,NA,none,NONE,STATSGO_HYDGRP_CAT_CONUS.csv,"Percentage of soils in hydrologic group D. Hydrologic group D soils have very slow infiltration rates. Soils are clayey, have a high water table, or have a shallow impervious layer."
cat_hgvar,HGVAR,cat_hgvar,NA,none,NONE,STATSGO_HYDGRP_CAT_CONUS.csv,Percentage of soils in hydrologic group VAR. Hydrologic group VAR soils have variable drainage characteristics.
cat_kfact_up,KFACT_UP,cat_kfact_up,NA,none,NONE,STATSGO_LAYER_CAT_CONUS.csv,Average K-factor value for the uppermost soil horizon in each soil component. K-factor is an erodibility factor which quantifies the susceptibility of soil particles to detachment and movement by water. The K-factor is used in the Universal Soil Loss Equation (USLE) to estimate soil loss by water. Higher values of K-factor indicate greater potential for erosion
cat_no10ave,NO10AVE,cat_no10ave,NA,none,NONE,STATSGO_LAYER_CAT_CONUS.csv,Average value of percent by weight of soil material less than 3 inches in size and passing a No. 10 sieve (2 mm)
cat_no200ave,NO200AVE,cat_no200ave,NA,none,NONE,STATSGO_LAYER_CAT_CONUS.csv,Average value of percent by weight of soil material less than 3 inches in size and passing a No. 200 sieve (.074 mm)
cat_no4ave,NO4AVE,cat_no4ave,NA,none,NONE,STATSGO_LAYER_CAT_CONUS.csv,Average value of percent by weight of soil material less than 3 inches in size and passing a No. 4 sieve (5 mm)
cat_om,OMAVE,cat_om,NA,none,NONE,STATSGO_LAYER_CAT_CONUS.csv,Average value of organic matter content (percent by weight)
